id,engine_temp,brake_wear_pct,battery_voltage,tire_pressure,chain_tension,image_brightness,image_contrast,image_edge_density,image_dark_ratio,image_red_ratio,image_green_ratio,image_blue_ratio,image_embedding_mean,image_embedding_std,image_embedding_max,image_embedding_l2,ambient_temp,smoke_detected,abnormal_noise,issue_severity
1,85,12,12.8,35,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,False,False,low
2,110,30,12.3,30,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,True,False,medium
3,145,70,11.8,26,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,True,True,high
4,95,18,12.6,34,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,False,False,low
5,130,55,11.9,28,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,True,True,high
6,72,8,13.1,36,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,False,False,low
7,160,85,11.2,24,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,True,True,high
8,125,45,12.0,29,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,False,True,medium
9,102,32,12.2,31,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,False,False,medium
10,88,15,12.7,34,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,False,False,low
11,140,60,11.7,27,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,True,True,high
12,78,10,12.9,35,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,False,False,low
13,117,38,12.1,30,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,True,False,medium
14,82,14,12.6,34,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,False,False,low
15,133,52,12.0,28,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,True,True,high
16,147,68,11.5,25,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,True,True,high
17,98,25,12.4,32,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,False,False,medium
18,90,16,12.8,33,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,False,False,low
19,120,42,12.1,29,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,False,True,medium
20,155,78,11.3,24,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,True,True,high
21,105,28,12.3,31,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,False,False,medium
22,92,18,12.7,33,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,False,False,low
23,135,58,11.8,27,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,True,True,high
24,80,13,12.8,35,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,False,False,low
25,125,47,12.0,29,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,False,True,medium
26,150,72,11.4,26,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,True,True,high
27,99,26,12.4,32,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,False,False,medium
28,88,14,12.7,34,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,False,False,low
29,132,53,11.9,28,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,True,True,high
30,115,36,12.2,30,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,False,False,medium
